Respondent_ID,Date,State,Region,Age_Group,Gender,Candidate,Voting_Issue,Confidence_Level,Latitude,Longitude,Year,Month,Day,Weekday,Confidence_Category,Vote_Flag
34,2024-04-02 09:00:00,Uttar Pradesh,Urban,25-34,Female,Candidate B,Healthcare,2,26.8467,80.9462,2024,4,2,Tuesday,Medium,1
35,2024-04-02 10:00:00,Punjab,Urban,45+,Female,Candidate C,Infrastructure,1,31.1471,75.3412,2024,4,2,Tuesday,Low,1
36,2024-04-02 11:00:00,Andhra Pradesh,Rural,25-34,Female,Candidate B,Education,1,15.9129,79.74,2024,4,2,Tuesday,Low,1
37,2024-04-02 12:00:00,Tamil Nadu,Rural,18-24,Male,Candidate A,Infrastructure,5,11.1271,78.6569,2024,4,2,Tuesday,High,1
38,2024-04-02 13:00:00,Maharashtra,Urban,18-24,Male,Candidate A,Jobs,4,19.7515,75.7139,2024,4,2,Tuesday,High,1
39,2024-04-02 14:00:00,Telangana,Rural,25-34,Male,Candidate A,Inflation,1,18.1124,79.0193,2024,4,2,Tuesday,Low,1
40,2024-04-02 15:00:00,Telangana,Rural,45+,Female,Candidate A,Inflation,2,18.1124,79.0193,2024,4,2,Tuesday,Medium,1
41,2024-04-02 16:00:00,Odisha,Urban,45+,Female,Candidate C,Healthcare,3,20.9517,85.0985,2024,4,2,Tuesday,Medium,1
42,2024-04-02 17:00:00,Kerala,Urban,45+,Female,Candidate A,Inflation,1,10.8505,76.2711,2024,4,2,Tuesday,Low,1
43,2024-04-02 18:00:00,Andhra Pradesh,Rural,18-24,Male,Candidate B,Jobs,1,15.9129,79.74,2024,4,2,Tuesday,Low,1
44,2024-04-02 19:00:00,Andhra Pradesh,Urban,25-34,Female,Candidate C,Healthcare,2,15.9129,79.74,2024,4,2,Tuesday,Medium,1
45,2024-04-02 20:00:00,Odisha,Urban,35-44,Female,Candidate B,Education,4,20.9517,85.0985,2024,4,2,Tuesday,High,1
46,2024-04-02 21:00:00,Haryana,Urban,18-24,Female,Candidate C,Inflation,1,29.0588,76.0856,2024,4,2,Tuesday,Low,1
47,2024-04-02 22:00:00,Haryana,Urban,45+,Male,Candidate B,Healthcare,1,29.0588,76.0856,2024,4,2,Tuesday,Low,1
48,2024-04-02 23:00:00,Odisha,Urban,25-34,Female,Candidate B,Jobs,4,20.9517,85.0985,2024,4,2,Tuesday,High,1
49,2024-04-03 00:00:00,Haryana,Urban,45+,Male,Candidate B,Infrastructure,2,29.0588,76.0856,2024,4,3,Wednesday,Medium,1
50,2024-04-03 01:00:00,Gujarat,Rural,35-44,Female,Candidate B,Infrastructure,1,22.2587,71.1924,2024,4,3,Wednesday,Low,1
51,2024-04-03 02:00:00,Andhra Pradesh,Urban,45+,Male,Candidate A,Jobs,4,15.9129,79.74,2024,4,3,Wednesday,High,1
52,2024-04-03 03:00:00,Bihar,Rural,45+,Male,Candidate A,Jobs,1,25.0961,85.3131,2024,4,3,Wednesday,Low,1
53,2024-04-03 04:00:00,Rajasthan,Urban,35-44,Male,Candidate A,Infrastructure,3,27.0238,74.2179,2024,4,3,Wednesday,Medium,1
54,2024-04-03 05:00:00,Tamil Nadu,Rural,25-34,Female,Candidate B,Healthcare,5,11.1271,78.6569,2024,4,3,Wednesday,High,1
55,2024-04-03 06:00:00,Gujarat,Urban,18-24,Female,Candidate A,Infrastructure,3,22.2587,71.1924,2024,4,3,Wednesday,Medium,1
56,2024-04-03 07:00:00,Madhya Pradesh,Rural,25-34,Male,Nota,Jobs,1,22.9734,78.6569,2024,4,3,Wednesday,Low,1
57,2024-04-03 08:00:00,Gujarat,Urban,35-44,Male,Candidate B,Inflation,2,22.2587,71.1924,2024,4,3,Wednesday,Medium,1
58,2024-04-03 09:00:00,Bihar,Rural,45+,Female,Candidate A,Education,5,25.0961,85.3131,2024,4,3,Wednesday,High,1
59,2024-04-03 10:00:00,Madhya Pradesh,Rural,25-34,Female,Candidate A,Inflation,3,22.9734,78.6569,2024,4,3,Wednesday,Medium,1
60,2024-04-03 11:00:00,Tamil Nadu,Urban,18-24,Male,Candidate C,Inflation,4,11.1271,78.6569,2024,4,3,Wednesday,High,1
61,2024-04-03 12:00:00,Bihar,Rural,35-44,Female,Candidate C,Jobs,2,25.0961,85.3131,2024,4,3,Wednesday,Medium,1
62,2024-04-03 13:00:00,Karnataka,Urban,25-34,Female,Candidate B,Infrastructure,3,15.3173,75.7139,2024,4,3,Wednesday,Medium,1
63,2024-04-03 14:00:00,Rajasthan,Urban,18-24,Female,Candidate A,Healthcare,4,27.0238,74.2179,2024,4,3,Wednesday,High,1
64,2024-04-03 15:00:00,Tamil Nadu,Urban,35-44,Female,Candidate A,Inflation,1,11.1271,78.6569,2024,4,3,Wednesday,Low,1
65,2024-04-03 16:00:00,Andhra Pradesh,Urban,18-24,Male,Candidate A,Infrastructure,4,15.9129,79.74,2024,4,3,Wednesday,High,1
66,2024-04-03 17:00:00,Haryana,Urban,35-44,Female,Candidate A,Healthcare,3,29.0588,76.0856,2024,4,3,Wednesday,Medium,1
67,2024-04-03 18:00:00,Karnataka,Urban,45+,Female,Candidate C,Inflation,3,15.3173,75.7139,2024,4,3,Wednesday,Medium,1
68,2024-04-03 19:00:00,Kerala,Rural,25-34,Male,Candidate B,Healthcare,1,10.8505,76.2711,2024,4,3,Wednesday,Low,1
69,2024-04-03 20:00:00,Tamil Nadu,Urban,18-24,Male,Candidate B,Infrastructure,4,11.1271,78.6569,2024,4,3,Wednesday,High,1
70,2024-04-03 21:00:00,Kerala,Urban,35-44,Female,Candidate C,Education,4,10.8505,76.2711,2024,4,3,Wednesday,High,1
71,2024-04-03 22:00:00,Madhya Pradesh,Urban,18-24,Female,Candidate B,Infrastructure,1,22.9734,78.6569,2024,4,3,Wednesday,Low,1
72,2024-04-03 23:00:00,Karnataka,Urban,18-24,Female,Candidate B,Jobs,4,15.3173,75.7139,2024,4,3,Wednesday,High,1
73,2024-04-04 00:00:00,Rajasthan,Urban,25-34,Female,Candidate A,Healthcare,1,27.0238,74.2179,2024,4,4,Thursday,Low,1
74,2024-04-04 01:00:00,Andhra Pradesh,Rural,45+,Male,Nota,Education,2,15.9129,79.74,2024,4,4,Thursday,Medium,1
75,2024-04-04 02:00:00,Odisha,Urban,18-24,Male,Candidate A,Healthcare,3,20.9517,85.0985,2024,4,4,Thursday,Medium,1
76,2024-04-04 03:00:00,Andhra Pradesh,Urban,35-44,Male,Nota,Healthcare,2,15.9129,79.74,2024,4,4,Thursday,Medium,1
77,2024-04-04 04:00:00,Bihar,Urban,35-44,Female,Candidate C,Inflation,5,25.0961,85.3131,2024,4,4,Thursday,High,1
78,2024-04-04 05:00:00,Andhra Pradesh,Urban,45+,Female,Candidate A,Jobs,5,15.9129,79.74,2024,4,4,Thursday,High,1
79,2024-04-04 06:00:00,Punjab,Rural,35-44,Female,Candidate B,Healthcare,5,31.1471,75.3412,2024,4,4,Thursday,High,1
80,2024-04-04 07:00:00,West Bengal,Urban,45+,Female,Candidate C,Infrastructure,1,22.9868,87.855,2024,4,4,Thursday,Low,1
81,2024-04-04 08:00:00,Odisha,Rural,35-44,Male,Candidate B,Infrastructure,4,20.9517,85.0985,2024,4,4,Thursday,High,1
82,2024-04-04 09:00:00,Gujarat,Rural,25-34,Male,Candidate C,Inflation,2,22.2587,71.1924,2024,4,4,Thursday,Medium,1
83,2024-04-04 10:00:00,Haryana,Urban,18-24,Female,Nota,Jobs,2,29.0588,76.0856,2024,4,4,Thursday,Medium,1
84,2024-04-04 11:00:00,Maharashtra,Rural,25-34,Male,Candidate A,Jobs,2,19.7515,75.7139,2024,4,4,Thursday,Medium,1
85,2024-04-04 12:00:00,Rajasthan,Urban,18-24,Female,Candidate A,Infrastructure,2,27.0238,74.2179,2024,4,4,Thursday,Medium,1
86,2024-04-04 13:00:00,Karnataka,Rural,18-24,Female,Nota,Education,5,15.3173,75.7139,2024,4,4,Thursday,High,1
87,2024-04-04 14:00:00,West Bengal,Urban,18-24,Male,Candidate B,Inflation,2,22.9868,87.855,2024,4,4,Thursday,Medium,1
88,2024-04-04 15:00:00,Rajasthan,Rural,25-34,Female,Candidate A,Inflation,4,27.0238,74.2179,2024,4,4,Thursday,High,1
89,2024-04-04 16:00:00,Karnataka,Urban,18-24,Female,Candidate A,Infrastructure,5,15.3173,75.7139,2024,4,4,Thursday,High,1
90,2024-04-04 17:00:00,Haryana,Urban,25-34,Male,Candidate B,Infrastructure,2,29.0588,76.0856,2024,4,4,Thursday,Medium,1
91,2024-04-04 18:00:00,Uttar Pradesh,Urban,45+,Female,Nota,Education,1,26.8467,80.9462,2024,4,4,Thursday,Low,1
92,2024-04-04 19:00:00,Uttar Pradesh,Rural,35-44,Female,Candidate C,Education,3,26.8467,80.9462,2024,4,4,Thursday,Medium,1
93,2024-04-04 20:00:00,Kerala,Rural,35-44,Male,Candidate B,Jobs,3,10.8505,76.2711,2024,4,4,Thursday,Medium,1
94,2024-04-04 21:00:00,Rajasthan,Rural,18-24,Female,Candidate A,Inflation,3,27.0238,74.2179,2024,4,4,Thursday,Medium,1
95,2024-04-04 22:00:00,Uttar Pradesh,Urban,25-34,Male,Candidate A,Inflation,5,26.8467,80.9462,2024,4,4,Thursday,High,1
96,2024-04-04 23:00:00,Punjab,Rural,35-44,Female,Candidate C,Infrastructure,2,31.1471,75.3412,2024,4,4,Thursday,Medium,1
97,2024-04-05 00:00:00,Odisha,Urban,25-34,Male,Candidate A,Jobs,5,20.9517,85.0985,2024,4,5,Friday,High,1
98,2024-04-05 01:00:00,Karnataka,Urban,25-34,Male,Candidate A,Inflation,4,15.3173,75.7139,2024,4,5,Friday,High,1
99,2024-04-05 02:00:00,Kerala,Urban,18-24,Male,Candidate A,Jobs,1,10.8505,76.2711,2024,4,5,Friday,Low,1
100,2024-04-05 03:00:00,Andhra Pradesh,Rural,35-44,Female,Candidate B,Jobs,1,15.9129,79.74,2024,4,5,Friday,Low,1
101,2024-04-05 04:00:00,Karnataka,Urban,18-24,Male,Nota,Infrastructure,3,15.3173,75.7139,2024,4,5,Friday,Medium,1
102,2024-04-05 05:00:00,Kerala,Urban,18-24,Male,Candidate A,Jobs,3,10.8505,76.2711,2024,4,5,Friday,Medium,1
103,2024-04-05 06:00:00,Haryana,Rural,35-44,Male,Candidate B,Education,3,29.0588,76.0856,2024,4,5,Friday,Medium,1
104,2024-04-05 07:00:00,Rajasthan,Urban,35-44,Male,Candidate B,Education,2,27.0238,74.2179,2024,4,5,Friday,Medium,1
105,2024-04-05 08:00:00,Haryana,Urban,45+,Male,Nota,Healthcare,4,29.0588,76.0856,2024,4,5,Friday,High,1
106,2024-04-05 09:00:00,Odisha,Urban,45+,Female,Candidate A,Infrastructure,4,20.9517,85.0985,2024,4,5,Friday,High,1
107,2024-04-05 10:00:00,Odisha,Urban,25-34,Female,Candidate B,Healthcare,4,20.9517,85.0985,2024,4,5,Friday,High,1
108,2024-04-05 11:00:00,West Bengal,Urban,35-44,Female,Candidate A,Education,4,22.9868,87.855,2024,4,5,Friday,High,1
109,2024-04-05 12:00:00,Haryana,Urban,45+,Female,Candidate C,Healthcare,3,29.0588,76.0856,2024,4,5,Friday,Medium,1
110,2024-04-05 13:00:00,Bihar,Rural,25-34,Female,Candidate B,Infrastructure,1,25.0961,85.3131,2024,4,5,Friday,Low,1
111,2024-04-05 14:00:00,Andhra Pradesh,Urban,25-34,Female,Candidate A,Infrastructure,3,15.9129,79.74,2024,4,5,Friday,Medium,1
112,2024-04-05 15:00:00,Tamil Nadu,Rural,25-34,Female,Candidate B,Jobs,4,11.1271,78.6569,2024,4,5,Friday,High,1
113,2024-04-05 16:00:00,Haryana,Rural,45+,Male,Candidate C,Inflation,3,29.0588,76.0856,2024,4,5,Friday,Medium,1
114,2024-04-05 17:00:00,West Bengal,Urban,35-44,Female,Candidate A,Jobs,4,22.9868,87.855,2024,4,5,Friday,High,1
115,2024-04-05 18:00:00,Madhya Pradesh,Rural,18-24,Male,Candidate C,Infrastructure,5,22.9734,78.6569,2024,4,5,Friday,High,1
116,2024-04-05 19:00:00,Punjab,Urban,25-34,Male,Candidate A,Education,1,31.1471,75.3412,2024,4,5,Friday,Low,1
117,2024-04-05 20:00:00,Karnataka,Urban,45+,Female,Candidate B,Education,5,15.3173,75.7139,2024,4,5,Friday,High,1
118,2024-04-05 21:00:00,Odisha,Urban,45+,Male,Candidate A,Jobs,2,20.9517,85.0985,2024,4,5,Friday,Medium,1
119,2024-04-05 22:00:00,Madhya Pradesh,Rural,18-24,Male,Candidate B,Infrastructure,3,22.9734,78.6569,2024,4,5,Friday,Medium,1
120,2024-04-05 23:00:00,West Bengal,Rural,18-24,Male,Candidate A,Education,2,22.9868,87.855,2024,4,5,Friday,Medium,1
121,2024-04-06 00:00:00,Kerala,Urban,45+,Male,Candidate C,Infrastructure,3,10.8505,76.2711,2024,4,6,Saturday,Medium,1
122,2024-04-06 01:00:00,Tamil Nadu,Urban,35-44,Female,Candidate B,Education,5,11.1271,78.6569,2024,4,6,Saturday,High,1
123,2024-04-06 02:00:00,Andhra Pradesh,Urban,18-24,Female,Candidate B,Infrastructure,4,15.9129,79.74,2024,4,6,Saturday,High,1
124,2024-04-06 03:00:00,Andhra Pradesh,Rural,45+,Female,Candidate C,Healthcare,4,15.9129,79.74,2024,4,6,Saturday,High,1
125,2024-04-06 04:00:00,Andhra Pradesh,Urban,18-24,Female,Candidate C,Infrastructure,3,15.9129,79.74,2024,4,6,Saturday,Medium,1
126,2024-04-06 05:00:00,Punjab,Urban,35-44,Female,Candidate A,Infrastructure,4,31.1471,75.3412,2024,4,6,Saturday,High,1
127,2024-04-06 06:00:00,Tamil Nadu,Urban,25-34,Female,Candidate A,Jobs,5,11.1271,78.6569,2024,4,6,Saturday,High,1
128,2024-04-06 07:00:00,Punjab,Urban,18-24,Female,Nota,Healthcare,4,31.1471,75.3412,2024,4,6,Saturday,High,1
129,2024-04-06 08:00:00,Odisha,Rural,35-44,Female,Candidate A,Inflation,5,20.9517,85.0985,2024,4,6,Saturday,High,1
130,2024-04-06 09:00:00,Punjab,Urban,45+,Female,Candidate B,Jobs,2,31.1471,75.3412,2024,4,6,Saturday,Medium,1
131,2024-04-06 10:00:00,Maharashtra,Rural,18-24,Female,Nota,Inflation,5,19.7515,75.7139,2024,4,6,Saturday,High,1
132,2024-04-06 11:00:00,Tamil Nadu,Urban,18-24,Male,Candidate A,Education,1,11.1271,78.6569,2024,4,6,Saturday,Low,1
133,2024-04-06 12:00:00,Bihar,Rural,45+,Female,Candidate B,Inflation,1,25.0961,85.3131,2024,4,6,Saturday,Low,1
134,2024-04-06 13:00:00,Tamil Nadu,Urban,25-34,Male,Candidate B,Infrastructure,1,11.1271,78.6569,2024,4,6,Saturday,Low,1
135,2024-04-06 14:00:00,West Bengal,Urban,45+,Male,Candidate B,Inflation,3,22.9868,87.855,2024,4,6,Saturday,Medium,1
136,2024-04-06 15:00:00,Maharashtra,Rural,18-24,Male,Candidate A,Jobs,3,19.7515,75.7139,2024,4,6,Saturday,Medium,1
137,2024-04-06 16:00:00,Andhra Pradesh,Rural,45+,Male,Candidate A,Jobs,3,15.9129,79.74,2024,4,6,Saturday,Medium,1
138,2024-04-06 17:00:00,West Bengal,Rural,35-44,Female,Candidate B,Inflation,5,22.9868,87.855,2024,4,6,Saturday,High,1
139,2024-04-06 18:00:00,West Bengal,Urban,45+,Male,Candidate C,Jobs,3,22.9868,87.855,2024,4,6,Saturday,Medium,1
140,2024-04-06 19:00:00,Odisha,Rural,18-24,Female,Candidate C,Jobs,2,20.9517,85.0985,2024,4,6,Saturday,Medium,1
141,2024-04-06 20:00:00,Telangana,Urban,45+,Female,Candidate B,Inflation,1,18.1124,79.0193,2024,4,6,Saturday,Low,1
142,2024-04-06 21:00:00,Gujarat,Rural,25-34,Male,Candidate A,Healthcare,5,22.2587,71.1924,2024,4,6,Saturday,High,1
143,2024-04-06 22:00:00,Maharashtra,Urban,45+,Female,Candidate B,Healthcare,1,19.7515,75.7139,2024,4,6,Saturday,Low,1
144,2024-04-06 23:00:00,West Bengal,Rural,25-34,Male,Candidate A,Education,3,22.9868,87.855,2024,4,6,Saturday,Medium,1
145,2024-04-07 00:00:00,Gujarat,Rural,35-44,Male,Nota,Jobs,5,22.2587,71.1924,2024,4,7,Sunday,High,1
146,2024-04-07 01:00:00,Gujarat,Rural,25-34,Female,Candidate C,Inflation,4,22.2587,71.1924,2024,4,7,Sunday,High,1
147,2024-04-07 02:00:00,Maharashtra,Urban,45+,Female,Candidate B,Jobs,2,19.7515,75.7139,2024,4,7,Sunday,Medium,1
148,2024-04-07 03:00:00,Telangana,Urban,18-24,Male,Nota,Infrastructure,3,18.1124,79.0193,2024,4,7,Sunday,Medium,1
149,2024-04-07 04:00:00,Madhya Pradesh,Rural,25-34,Female,Candidate A,Jobs,3,22.9734,78.6569,2024,4,7,Sunday,Medium,1
150,2024-04-07 05:00:00,Kerala,Urban,35-44,Female,Candidate B,Jobs,2,10.8505,76.2711,2024,4,7,Sunday,Medium,1
151,2024-04-07 06:00:00,Bihar,Rural,25-34,Female,Candidate A,Healthcare,2,25.0961,85.3131,2024,4,7,Sunday,Medium,1
152,2024-04-07 07:00:00,Kerala,Rural,25-34,Male,Candidate C,Inflation,4,10.8505,76.2711,2024,4,7,Sunday,High,1
153,2024-04-07 08:00:00,Tamil Nadu,Urban,25-34,Male,Candidate A,Jobs,3,11.1271,78.6569,2024,4,7,Sunday,Medium,1
154,2024-04-07 09:00:00,Andhra Pradesh,Rural,35-44,Female,Candidate B,Healthcare,3,15.9129,79.74,2024,4,7,Sunday,Medium,1
155,2024-04-07 10:00:00,Bihar,Urban,45+,Female,Candidate C,Education,1,25.0961,85.3131,2024,4,7,Sunday,Low,1
156,2024-04-07 11:00:00,Tamil Nadu,Rural,25-34,Female,Candidate A,Healthcare,5,11.1271,78.6569,2024,4,7,Sunday,High,1
157,2024-04-07 12:00:00,West Bengal,Rural,25-34,Female,Candidate A,Healthcare,5,22.9868,87.855,2024,4,7,Sunday,High,1
158,2024-04-07 13:00:00,Andhra Pradesh,Urban,18-24,Female,Candidate C,Healthcare,1,15.9129,79.74,2024,4,7,Sunday,Low,1
159,2024-04-07 14:00:00,Karnataka,Urban,35-44,Male,Candidate B,Jobs,5,15.3173,75.7139,2024,4,7,Sunday,High,1
160,2024-04-07 15:00:00,Maharashtra,Rural,25-34,Female,Candidate A,Jobs,2,19.7515,75.7139,2024,4,7,Sunday,Medium,1
161,2024-04-07 16:00:00,Bihar,Urban,35-44,Male,Candidate A,Education,5,25.0961,85.3131,2024,4,7,Sunday,High,1
162,2024-04-07 17:00:00,Bihar,Rural,25-34,Female,Candidate A,Infrastructure,5,25.0961,85.3131,2024,4,7,Sunday,High,1
163,2024-04-07 18:00:00,Haryana,Urban,45+,Male,Candidate C,Infrastructure,1,29.0588,76.0856,2024,4,7,Sunday,Low,1
164,2024-04-07 19:00:00,West Bengal,Urban,45+,Female,Candidate B,Infrastructure,4,22.9868,87.855,2024,4,7,Sunday,High,1
165,2024-04-07 20:00:00,Madhya Pradesh,Urban,25-34,Male,Candidate A,Education,5,22.9734,78.6569,2024,4,7,Sunday,High,1
166,2024-04-07 21:00:00,Gujarat,Urban,45+,Female,Candidate A,Infrastructure,5,22.2587,71.1924,2024,4,7,Sunday,High,1
167,2024-04-07 22:00:00,Andhra Pradesh,Urban,25-34,Male,Candidate A,Infrastructure,4,15.9129,79.74,2024,4,7,Sunday,High,1
168,2024-04-07 23:00:00,West Bengal,Rural,45+,Male,Candidate A,Healthcare,1,22.9868,87.855,2024,4,7,Sunday,Low,1
169,2024-04-08 00:00:00,Uttar Pradesh,Urban,18-24,Male,Candidate B,Jobs,4,26.8467,80.9462,2024,4,8,Monday,High,1
170,2024-04-08 01:00:00,Telangana,Urban,18-24,Male,Candidate A,Jobs,1,18.1124,79.0193,2024,4,8,Monday,Low,1
171,2024-04-08 02:00:00,Gujarat,Urban,18-24,Male,Candidate A,Healthcare,2,22.2587,71.1924,2024,4,8,Monday,Medium,1
172,2024-04-08 03:00:00,Maharashtra,Urban,35-44,Male,Candidate B,Healthcare,1,19.7515,75.7139,2024,4,8,Monday,Low,1
173,2024-04-08 04:00:00,Gujarat,Urban,35-44,Female,Candidate A,Healthcare,2,22.2587,71.1924,2024,4,8,Monday,Medium,1
174,2024-04-08 05:00:00,Madhya Pradesh,Rural,18-24,Male,Candidate B,Jobs,2,22.9734,78.6569,2024,4,8,Monday,Medium,1
175,2024-04-08 06:00:00,Odisha,Rural,35-44,Female,Candidate B,Infrastructure,1,20.9517,85.0985,2024,4,8,Monday,Low,1
176,2024-04-08 07:00:00,Haryana,Urban,45+,Female,Candidate B,Healthcare,3,29.0588,76.0856,2024,4,8,Monday,Medium,1
177,2024-04-08 08:00:00,Gujarat,Rural,25-34,Female,Candidate B,Education,1,22.2587,71.1924,2024,4,8,Monday,Low,1
178,2024-04-08 09:00:00,Maharashtra,Rural,25-34,Female,Candidate B,Healthcare,5,19.7515,75.7139,2024,4,8,Monday,High,1
179,2024-04-08 10:00:00,Madhya Pradesh,Urban,25-34,Female,Candidate C,Inflation,5,22.9734,78.6569,2024,4,8,Monday,High,1
180,2024-04-08 11:00:00,Kerala,Rural,18-24,Male,Candidate B,Healthcare,3,10.8505,76.2711,2024,4,8,Monday,Medium,1
181,2024-04-08 12:00:00,Bihar,Rural,35-44,Male,Candidate B,Jobs,2,25.0961,85.3131,2024,4,8,Monday,Medium,1
182,2024-04-08 13:00:00,Odisha,Urban,45+,Male,Candidate C,Healthcare,3,20.9517,85.0985,2024,4,8,Monday,Medium,1
183,2024-04-08 14:00:00,Haryana,Urban,45+,Female,Candidate B,Inflation,5,29.0588,76.0856,2024,4,8,Monday,High,1
184,2024-04-08 15:00:00,Bihar,Rural,18-24,Male,Candidate A,Education,3,25.0961,85.3131,2024,4,8,Monday,Medium,1
185,2024-04-08 16:00:00,Telangana,Rural,45+,Male,Candidate A,Infrastructure,1,18.1124,79.0193,2024,4,8,Monday,Low,1
186,2024-04-08 17:00:00,Tamil Nadu,Urban,45+,Male,Candidate A,Healthcare,3,11.1271,78.6569,2024,4,8,Monday,Medium,1
187,2024-04-08 18:00:00,Odisha,Rural,45+,Male,Candidate C,Inflation,2,20.9517,85.0985,2024,4,8,Monday,Medium,1
188,2024-04-08 19:00:00,Odisha,Rural,45+,Male,Candidate B,Inflation,1,20.9517,85.0985,2024,4,8,Monday,Low,1
189,2024-04-08 20:00:00,Kerala,Rural,35-44,Female,Nota,Education,4,10.8505,76.2711,2024,4,8,Monday,High,1
190,2024-04-08 21:00:00,Kerala,Rural,45+,Male,Candidate B,Jobs,5,10.8505,76.2711,2024,4,8,Monday,High,1
191,2024-04-08 22:00:00,Andhra Pradesh,Rural,25-34,Female,Candidate B,Healthcare,5,15.9129,79.74,2024,4,8,Monday,High,1
